,Store name,Store URL,Area,Postcode,Phone
0,Abergavenny,https://www.waitrose.com//content/waitrose/en/bf_home/bf/683.html,Gwent,NP79LL,0187385118
1,Abingdon,https://www.waitrose.com//content/waitrose/en/bf_home/bf/211.html,Oxfordshire,OX143HL,0123553500
2,Addlestone,https://www.waitrose.com//bf_home/bf/542.html,Surrey,KT152GL,0193282001
3,Admiral Park,http://www.waitrose.com/content/waitrose/en/bf_home/bf/335.html,Guernsey,GY12AL,0148172922
4,Alcester,https://www.waitrose.com//content/waitrose/en/bf_home/bf/474.html,Warwickshire,B495DA,0178976674
5,Alderley Edge,http://www.waitrose.com/content/waitrose/en/bf_home/bf/560.html,AlderleyEdge,SK97JX,0162559074
6,Allington Park,https://www.waitrose.com//content/waitrose/en/bf_home/bf/137.html,Kent,ME160PX,0162275227
7,Alton,http://www.waitrose.com/content/waitrose/en/bf_home/bf/329.html,Hampshire,GU342PZ,0142054106
8,Altrincham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/494.html,Cheshire,WA145ZL,0161929780
9,Amersham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/578.html,Buckinghamshire,HP65DR,0149443343
10,Ampthill,https://www.waitrose.com//content/waitrose/en/bf_home/bf/722.html,Bedfordshire,MK452LU,0152540227
11,Andover,https://www.waitrose.com//content/waitrose/en/bf_home/bf/168.html,Hampshire,SP101LY,0126435551
12,Ashbourne,https://www.waitrose.com//content/waitrose/en/bf_home/bf/316.html,Derbyshire,DE61GF,0133534894
13,Ashford,https://www.waitrose.com//content/waitrose/en/bf_home/bf/705.html,Kent,TN233RT,0123366008
14,Aylesbury,http://www.waitrose.com/content/waitrose/en/bf_home/bf/625.html,Buckinghamshire,HP201AL,0129643693
15,Bagshot ,https://www.waitrose.com//bf_home/bf/514.html,Surrey,GU195DG,0127647258
16,Bagshot Road ,https://www.waitrose.com//bf_home/bf/738.html,Berkshire,RG129SE,0134486029
17,Balham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/719.html,London,SW129BN,0208675031
18,Banbury,https://www.waitrose.com//bf_home/bf/874.html,Oxfordshire,OX162FW,0129525868
19,Banstead,https://www.waitrose.com//content/waitrose/en/bf_home/bf/202.html,Surrey,SM72NB,0173737355
20,Barbican,https://www.waitrose.com//content/waitrose/en/bf_home/bf/732.html,London,EC1Y8NX,0207256644
21,Barnet,https://www.waitrose.com//content/waitrose/en/bf_home/bf/191.html,Hertfordshire,EN55XY,0208449179
22,Barry,https://www.waitrose.com//content/waitrose/en/bf_home/bf/688.html,SouthGlamorgan,CF632PE,0144673717
23,Basingstoke,https://www.waitrose.com//bf_home/bf/582.html,Hampshire,RG214YY,0125635082
24,Bath,https://www.waitrose.com//content/waitrose/en/bf_home/bf/193.html,NESomerset,BA15AL,0122544255
25,Battersea,https://www.waitrose.com//bf_home/bf/737.html,Battersea,SW84LT,0207720987
26,Battersea - Nine Elms,https://www.waitrose.com//bf_home/bf/598.html,London,SW117DN,0207622245
27,Bayswater,https://www.waitrose.com//bf_home/bf/756.html,London,W26ES,0207243571
28,Beaconsfield,https://www.waitrose.com//content/waitrose/en/bf_home/bf/177.html,Buckinghamshire,HP92PW,0149467681
29,Beckenham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/212.html,Kent,BR31SD,0208663489
30,Bedford,http://www.waitrose.com/content/waitrose/en/bf_home/bf/725.html,Bedford,MK410GX,0123427368
31,Belgravia,https://www.waitrose.com//content/waitrose/en/bf_home/bf/665.html,London,SW1X8GG,0207235495
32,Berkhamsted,http://www.waitrose.com/content/waitrose/en/bf_home/bf/223.html,Hertfordshire,HP41HS,0144287750
33,Biggin Hill,https://www.waitrose.com//content/waitrose/en/bf_home/bf/240.html,Kent,TN163BB,0195957507
34,Billericay,https://www.waitrose.com//content/waitrose/en/bf_home/bf/229.html,Essex,CM129BY,0127763633
35,Birmingham-Colmore Row,http://www.waitrose.com/content/waitrose/en/bf_home/bf/742.html,Birmingham,B32BJ,0121200324
36,Bishop's Stortford,https://www.waitrose.com//content/waitrose/en/bf_home/bf/101.html,Hertfordshire,CM232BA,0127946655
37,Blaby,https://www.waitrose.com//content/waitrose/en/bf_home/bf/141.html,Leicestershire,LE84DJ,0116277515
38,Bloomsbury,https://www.waitrose.com//content/waitrose/en/bf_home/bf/207.html,London,WC1N1AF,0207713609
