,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,AL1,51.748475,-0.320944,Med Grill,51.752136514473,-0.32070738033588636,Mediterranean Restaurant
1,AL1,51.748475,-0.320944,The Crown,51.75127755961267,-0.3232762788177714,Pub
2,AL1,51.748475,-0.320944,Lebanese Kitchen,51.75108007541462,-0.32353728813729143,Lebanese Restaurant
3,AL1,51.748475,-0.320944,Chilli Raj,51.75122269791972,-0.3233847310158588,Indian Restaurant
4,AL1,51.748475,-0.320944,Tesco Express,51.75226046463123,-0.32026053998649173,Grocery Store
5,AL1,51.748475,-0.320944,The Breakfast Club,51.75105625369467,-0.32355268814252386,Breakfast Spot
6,AL1,51.748475,-0.320944,Regus - St. Albans Victoria Square,51.749,-0.326167,Building
7,AL1,51.748475,-0.320944,Nino,51.75167636916398,-0.32248735427856445,Café
8,AL1,51.748475,-0.320944,The Chicken Shop,51.751846,-0.321739,Fast Food Restaurant
9,AL1,51.748475,-0.320944,Verdi's Trattoria,51.751653,-0.323815,Italian Restaurant
10,AL1,51.748475,-0.320944,Chinese Express,51.75225445017008,-0.32038782130934973,Chinese Restaurant
11,AL10,51.759492,-0.23985,Gap Outlet,51.76122101966004,-0.24039065313023383,Clothing Store
12,AL10,51.759492,-0.23985,TK Maxx,51.76080155380439,-0.24077126010553565,Clothing Store
13,AL10,51.759492,-0.23985,Harpsfield Hall (Wetherspoon),51.762511168196376,-0.24029750551485834,Pub
14,AL10,51.759492,-0.23985,Nando's,51.76236720412463,-0.2390895738839876,Portuguese Restaurant
15,AL10,51.759492,-0.23985,Aldi,51.76305757657253,-0.240493552728654,Supermarket
16,AL10,51.759492,-0.23985,Caffè Nero,51.761084183905666,-0.24053293262691877,Coffee Shop
17,AL10,51.759492,-0.23985,Nike,51.760353,-0.2407876,Sporting Goods Shop
18,AL10,51.759492,-0.23985,Costa Coffee,51.76082896849146,-0.24076090253437143,Coffee Shop
19,AL10,51.759492,-0.23985,Waterstones,51.760927060800654,-0.24070795055672461,Bookstore
20,AL10,51.759492,-0.23985,M&S Outlet,51.76066988079192,-0.2411280120832065,Outlet Store
21,AL10,51.759492,-0.23985,Prezzo,51.76298332752229,-0.2380514152237906,Italian Restaurant
22,AL10,51.759492,-0.23985,Odeon,51.762905,-0.238423,Movie Theater
23,AL10,51.759492,-0.23985,McDonald's,51.762972345700106,-0.23788543970730677,Fast Food Restaurant
24,AL10,51.759492,-0.23985,Subway,51.76146416317828,-0.24007908994462318,Sandwich Place
25,AL10,51.759492,-0.23985,Turan Bar & Indian Tapas Restaurant,51.76354081774895,-0.24040876790996424,Indian Restaurant
26,AL10,51.759492,-0.23985,The Real China,51.76196485649806,-0.23945888362689183,Chinese Restaurant
27,AL10,51.759492,-0.23985,Get Wild,51.76087891288556,-0.24064890811250422,Indoor Play Area
28,AL10,51.759492,-0.23985,Cafe Giardino,51.76088698782474,-0.2406123334304271,Café
29,AL10,51.759492,-0.23985,Calvin Klein,51.761062019440374,-0.24062988763742457,Lingerie Store
30,AL10,51.759492,-0.23985,Beales Hotel,51.76221402901696,-0.24116263508900013,Hotel
31,AL10,51.759492,-0.23985,PizzaExpress,51.76221118566281,-0.2392426354992574,Pizza Place
32,AL10,51.759492,-0.23985,Burger King,51.76280012011378,-0.23838828550604974,Fast Food Restaurant
33,AL10,51.759492,-0.23985,Subway,51.762929766916145,-0.24029930271989428,Sandwich Place
34,AL10,51.759492,-0.23985,Turkish Kitchen,51.76294955911924,-0.24047683499217193,Turkish Restaurant
35,AL10,51.759492,-0.23985,Chiquito,51.7628986,-0.2384582,Mexican Restaurant
36,AL10,51.759492,-0.23985,Travelodge,51.76353909207209,-0.23993871000729955,Hotel
37,AL10,51.759492,-0.23985,Everest Spice Lounge,51.763749776466476,-0.23862615713061006,Indian Restaurant
38,AL10,51.759492,-0.23985,Carphone Warehouse,51.76354176663385,-0.23989040022853625,Mobile Phone Shop
39,AL10,51.759492,-0.23985,Mooboo,51.76361814121571,-0.24033823279910219,Bubble Tea Shop
40,AL2,51.72047,-0.35107,Co-op Food,51.7195529870719,-0.35041570817474743,Grocery Store
41,AL2,51.72047,-0.35107,Moonlight off licence,51.7194022,-0.3505382,Liquor Store
42,AL2,51.72047,-0.35107,Seaworld Fish 'n' Chips,51.71988954070398,-0.34989082013223205,Fish & Chips Shop
43,AL2,51.72047,-0.35107,Veralum Woods,51.720909118652344,-0.3449268937110901,Park
47,AL4,51.768249499999996,-0.298807,"Jersey Farm Fish & Chips, Kebab",51.769775,-0.29771382,Fish & Chips Shop
48,AL4,51.768249499999996,-0.298807,Tesco Express,51.76995120967593,-0.29805243015289307,Grocery Store
49,AL4,51.768249499999996,-0.298807,J C Moffat Plastering,51.76623309155746,-0.2986907958984375,Home Service
50,AL4,51.768249499999996,-0.298807,Jersey Farm Chinese,51.7715507962205,-0.2980782753307525,Chinese Restaurant
51,AL4,51.768249499999996,-0.298807,Lean Devotion,51.764360637559435,-0.29665231704711914,Gym / Fitness Center
75,AL7,51.795069,-0.186096,Crazy4Crafting,51.7959011409543,-0.18952263887013032,Arts & Crafts Store
76,AL7,51.795069,-0.186096,Costcutter,51.79872468872509,-0.18986823199639632,Convenience Store
77,AL7,51.795069,-0.186096,Your Local Store,51.798695,-0.190152,Market
78,AL7,51.795069,-0.186096,The Chieftain,51.79119987331206,-0.18941604542098592,Pub
105,AL9,51.733807,-0.21080949999999998,Sibthorpe Arms,51.73259085954168,-0.21380512557539874,Bar
106,AL9,51.733807,-0.21080949999999998,Simmons Bakery,51.736083,-0.211498,Breakfast Spot
107,AL9,51.733807,-0.21080949999999998,Welham Green Railway Station (WMG),51.73627779535813,-0.21060705184936523,Train Station
108,AL9,51.733807,-0.21080949999999998,Newark Northgate Railway Station,51.737313548084956,-0.21144049048612937,Train Station
109,B14,52.401685,-1.885091,PureGym,52.404111675558376,-1.8843203504318045,Gym / Fitness Center
110,B14,52.401685,-1.885091,Boots,52.40552210191281,-1.8870724720751204,Pharmacy
111,B14,52.401685,-1.885091,KFC,52.404783232155005,-1.8860431220135099,Fast Food Restaurant
112,B14,52.401685,-1.885091,Subway,52.40484074926835,-1.8855500221252441,Sandwich Place
113,B14,52.401685,-1.885091,Carrefour Health & Fitness,52.40434908995551,-1.8851745583712345,Gym
114,B14,52.401685,-1.885091,Sainsbury's Café,52.4045015794293,-1.886468923768163,Café
115,B14,52.401685,-1.885091,Sainsbury's,52.40428443,-1.88513803,Supermarket
116,B23,52.54293199999999,-1.8500869999999998,The Garden Room,52.544084556822284,-1.8502886430205514,Café
117,B23,52.54293199999999,-1.8500869999999998,Hall's Garden Centre,52.54429326259563,-1.850978815737023,Flower Shop
118,B23,52.54293199999999,-1.8500869999999998,The Greyhound Pub,52.54125500606462,-1.8498089311044215,Pub
119,B23,52.54293199999999,-1.8500869999999998,Mossy bank,52.54412150045794,-1.8441519463903684,Park
120,B26,52.453841999999995,-1.7820445,Morrisons Sheldon,52.450882503355004,-1.7783402799593522,Supermarket
121,B26,52.453841999999995,-1.7820445,KFC,52.452980226731476,-1.7867237006112895,Fast Food Restaurant
122,B26,52.453841999999995,-1.7820445,Titash,52.45149552748839,-1.777775549887113,Indian Restaurant
123,B26,52.453841999999995,-1.7820445,Pizza Hut,52.45182337119872,-1.779708618036011,Pizza Place
124,B26,52.453841999999995,-1.7820445,Toby Carvery,52.45138029895368,-1.7825390561549987,English Restaurant
125,B26,52.453841999999995,-1.7820445,B26 Food Of India,52.45192959473722,-1.780385971069336,Indian Restaurant
126,B26,52.453841999999995,-1.7820445,Wheatsheaf Shops,52.45215946534864,-1.7842837518371186,Shopping Mall
127,B26,52.453841999999995,-1.7820445,TSB Bank,52.452933,-1.785569,Bank
128,B26,52.453841999999995,-1.7820445,KFC,52.45165317,-1.77836085,Fast Food Restaurant
129,B26,52.453841999999995,-1.7820445,Kwik-Fit,52.45261961,-1.78700463,Auto Garage
130,B26,52.453841999999995,-1.7820445,Three Horseshoes Pub,52.453286585679415,-1.7880664379294888,Pub
131,B27,52.44847849999999,-1.8064719999999999,Richmond Park,52.44698625629758,-1.8024873733520508,Park
132,B27,52.44847849999999,-1.8064719999999999,Robinson & Co Plastering,52.4452255,-1.8101689,Construction & Landscaping
134,B36,52.505047999999995,-1.770778,The Bradford Arms,52.50281469289459,-1.7746776928547974,Pub
135,B36,52.505047999999995,-1.770778,Iceland,52.501104603046,-1.7712461554652783,Grocery Store
136,B36,52.505047999999995,-1.770778,Toby Carvery,52.5026284062248,-1.7748116617386789,English Restaurant
