,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Abergavenny,51.818294,-3.028245,Waitrose & Partners,51.816617567743066,-3.02843935796966,Supermarket
1,Abergavenny,51.818294,-3.028245,Eisteddfod Genedlaethol Cymru,51.81945973478019,-3.023319005870686,Performing Arts Venue
2,Abingdon,51.672083,-1.279705,Crown and Thistle,51.66960417474452,-1.280457290293827,Pub
3,Abingdon,51.672083,-1.279705,Costa Coffee,51.67042560018014,-1.2818116433480844,Coffee Shop
4,Abingdon,51.672083,-1.279705,Waitrose & Partners,51.6720382074609,-1.279791820420769,Supermarket
5,Abingdon,51.672083,-1.279705,The Nags Head,51.66864907688092,-1.2792526438023113,Pub
6,Abingdon,51.672083,-1.279705,Chaba,51.670013424826756,-1.283104419708252,Thai Restaurant
7,Abingdon,51.672083,-1.279705,The Broad Face,51.66931472573878,-1.2802887504745661,Pub
8,Abingdon,51.672083,-1.279705,The Kings Head & Bell,51.669603433583134,-1.2813327231177662,Pub
9,Abingdon,51.672083,-1.279705,Ask,51.67032494991048,-1.2841758965573633,Italian Restaurant
10,Abingdon,51.672083,-1.279705,Java&Co,51.67043927327659,-1.2812376022338867,Café
11,Abingdon,51.672083,-1.279705,PizzaExpress,51.6706649093468,-1.2809097686412376,Pizza Place
12,Abingdon,51.672083,-1.279705,Dil Raj,51.67017895250008,-1.284381149386283,Indian Restaurant
13,Abingdon,51.672083,-1.279705,BP,51.67334601,-1.2803108,Gas Station
14,Abingdon,51.672083,-1.279705,Boots,51.67059081264011,-1.2826021767381273,Pharmacy
15,Abingdon,51.672083,-1.279705,Greggs,51.670565696264475,-1.2824714183807373,Bakery
16,Abingdon,51.672083,-1.279705,The Narrows (Wetherspoon),51.670290779874264,-1.2833697041916556,Pub
17,Abingdon,51.672083,-1.279705,Throwing Buns,51.670160818567425,-1.2816733319813836,Tea Room
18,Abingdon,51.672083,-1.279705,WHSmith,51.670905040434604,-1.2825679779052734,Bookstore
19,Abingdon,51.672083,-1.279705,Abbey Gardens,51.67069192836771,-1.2786737376025188,Park
20,Abingdon,51.672083,-1.279705,Stratton Way,51.67119918062808,-1.284973678061672,Bus Station
21,Abingdon,51.672083,-1.279705,Abbey Meadows,51.670771964592454,-1.2738990783691406,Park
22,Addlestone,51.370886,-0.4915060000000001,Bread & Roses,51.37128441364767,-0.4897499084472656,Breakfast Spot
23,Addlestone,51.370886,-0.4915060000000001,Waitrose & Partners,51.37080579110141,-0.4916074404754909,Supermarket
24,Addlestone,51.370886,-0.4915060000000001,Mystica,51.37208149069817,-0.4855124347006032,Indian Restaurant
25,Addlestone,51.370886,-0.4915060000000001,Olive Tree Cafe,51.37152353065451,-0.4891168292972063,Café
26,Addlestone,51.370886,-0.4915060000000001,Premier Inn Addlestone,51.3707894,-0.4917032,Hotel
27,Addlestone,51.370886,-0.4915060000000001,Greggs,51.37147228386255,-0.48836588859558105,Bakery
28,Addlestone,51.370886,-0.4915060000000001,Subway,51.37148878034565,-0.48930740514431353,Sandwich Place
29,Addlestone,51.370886,-0.4915060000000001,Wimpy,51.37197125799813,-0.48661038279533386,Burger Joint
30,Addlestone,51.370886,-0.4915060000000001,KFC,51.371527839282656,-0.4889835701232181,Fast Food Restaurant
31,Addlestone,51.370886,-0.4915060000000001,Costa Coffee,51.371679578334586,-0.48785301722963087,Coffee Shop
32,Addlestone,51.370886,-0.4915060000000001,Thai Yum Yum Restaurant,51.371351725537636,-0.49349427223205566,Thai Restaurant
33,Addlestone,51.370886,-0.4915060000000001,Beijing Restaurant 中华,51.37096335782433,-0.49205137228171325,Chinese Restaurant
34,Addlestone,51.370886,-0.4915060000000001,Victory Park,51.37507367599363,-0.49290204118208353,Park
35,Addlestone,51.370886,-0.4915060000000001,The Golden Cafe,51.37143763969582,-0.4882946141888976,Café
36,Addlestone,51.370886,-0.4915060000000001,Kingthorpe gardens,51.368987855651916,-0.4929732063031226,Park
37,Addlestone,51.370886,-0.4915060000000001,Muratti,51.37246344021312,-0.488341575717135,Café
38,Alcester,52.216453,-1.870244,Turks Head,52.21498121049182,-1.869626748698615,Pub
39,Alcester,52.216453,-1.870244,The Holly Bush,52.21587769002591,-1.8686843166238423,Bar
40,Alcester,52.216453,-1.870244,Romna Ii Balti Restaurant,52.214830041991995,-1.8716427222095549,Indian Restaurant
41,Alcester,52.216453,-1.870244,Waitrose & Partners,52.214893811088054,-1.8719870372622154,Supermarket
42,Alcester,52.216453,-1.870244,The Greig,52.21805298502404,-1.8676920274582192,Gym / Fitness Center
43,Alcester,52.216453,-1.870244,Orangemabel Tea Room,52.21390474474029,-1.8707013130187986,Tea Room
44,Alcester,52.216453,-1.870244,Tesco Express,52.21865305234218,-1.8653394376810941,Grocery Store
45,Alcester,52.216453,-1.870244,Cardamom,52.213635550230244,-1.8716180481912204,Indian Restaurant
46,Alcester,52.216453,-1.870244,Dog And Partridge,52.213023611710994,-1.871251625853196,Pub
47,Alderley Edge,53.302691,-2.236853,The Railway Cafe & Gin Bar,53.30304608671312,-2.2361662252187413,Indian Restaurant
48,Alderley Edge,53.302691,-2.236853,The Botanist,53.30266411625963,-2.2361740326106965,Pub
49,Alderley Edge,53.302691,-2.236853,Waitrose & Partners,53.30252812150524,-2.236928837417736,Supermarket
50,Alderley Edge,53.302691,-2.236853,Aldeli,53.304956741443995,-2.2376074011554574,American Restaurant
51,Alderley Edge,53.302691,-2.236853,Gusto Restaurant And Bar,53.30080064018282,-2.2360858995354373,Italian Restaurant
52,Alderley Edge,53.302691,-2.236853,Village Cafe,53.30098766011128,-2.236288768041055,Café
53,Alderley Edge,53.302691,-2.236853,Yara,53.30220332823281,-2.236232529344863,Mediterranean Restaurant
54,Alderley Edge,53.302691,-2.236853,Fosters Fish & Chips,53.299956422896386,-2.236586700163083,Fish & Chips Shop
55,Alderley Edge,53.302691,-2.236853,Alderley Edge Hotel,53.29857580924211,-2.234117473654099,Hotel
56,Alderley Edge,53.302691,-2.236853,Alderley Bar & Grill,53.300414138418404,-2.2363753444298484,Restaurant
57,Alderley Edge,53.302691,-2.236853,Costa Coffee,53.30155546180891,-2.2361510904690163,Coffee Shop
58,Alderley Edge,53.302691,-2.236853,The Bubble Room,53.30172439717552,-2.2360965597270686,Wine Bar
59,Alderley Edge,53.302691,-2.236853,Piccolino,53.304426,-2.237567,Italian Restaurant
60,Alderley Edge,53.302691,-2.236853,De Trafford Arms,53.29989203921567,-2.236621197455712,Pub
61,Alderley Edge,53.302691,-2.236853,Tesco Express,53.302532598947735,-2.2358832657664607,Grocery Store
62,Alderley Edge,53.302691,-2.236853,G.Wienholt,53.302615229901136,-2.2358865429219588,Bakery
63,Alderley Edge,53.302691,-2.236853,Alderley Edge Park,53.30263357903964,-2.237842082977295,Park
64,Alderley Edge,53.302691,-2.236853,The Co-operative,53.30237864,-2.2365668000000003,Grocery Store
65,Alderley Edge,53.302691,-2.236853,Alderley Restaurant,53.298541,-2.234194,French Restaurant
66,Alderley Edge,53.302691,-2.236853,The Brasserie,53.298571595242386,-2.233995985897204,French Restaurant
67,Allington Park,51.286182,0.497457,Waitrose & Partners,51.286262141450656,0.4975081631946523,Supermarket
68,Allington Park,51.286182,0.497457,BP,51.28484309,0.4943767,Gas Station
69,Allington Park,51.286182,0.497457,Tesco Express,51.28273013055551,0.5018480122089386,Grocery Store
70,Allington Park,51.286182,0.497457,Marks & Spencer,51.28465477,0.49416711,Convenience Store
71,Allington Park,51.286182,0.497457,Sir Thomas Wyatt (Beefeater),51.28738530029324,0.49108868485109175,Pub
72,Alton,51.152703,-0.968082,The Railway Arms (Triple FFF),51.15323836591379,-0.9685729652525521,Pub
73,Alton,51.152703,-0.968082,Waitrose & Partners,51.152813811164364,-0.9671820846557466,Supermarket
74,Alton,51.152703,-0.968082,Alton Station (Watercress Line),51.15200672615204,-0.9665309153245892,Train Station
75,Alton,51.152703,-0.968082,The Station Cafe,51.15228458268259,-0.9671697649803519,Café
76,Alton,51.152703,-0.968082,Alton House Hotel,51.15192780175431,-0.9700199329855285,Hotel
77,Alton,51.152703,-0.968082,Alton Fish & Chips,51.15138896508995,-0.9713295517544613,Fish & Chips Shop
78,Alton,51.152703,-0.968082,Palace Leisure Theatre,51.151247717232046,-0.9719467163085938,Indie Movie Theater
79,Alton,51.152703,-0.968082,Anstey Park,51.1564924559515,-0.9667301203598252,Park
80,Alton,51.152703,-0.968082,Murats Kebab,51.150222835857896,-0.9736228451096754,Food Truck
81,Altrincham,53.405692,-2.364468,Waitrose & Partners,53.405678,-2.363935,Supermarket
82,Altrincham,53.405692,-2.364468,Cafe Asda,53.40742770791237,-2.3643101715135963,Café
83,Altrincham,53.405692,-2.364468,Bramley Farm,53.405039,-2.362311,Pub
84,Altrincham,53.405692,-2.364468,Plantation Garden Center,53.40989260250264,-2.362360324510188,Garden Center
85,Amersham,51.67757,-0.6063069999999999,Tom Yum,51.6785916816781,-0.6050282822158014,Thai Restaurant
86,Amersham,51.67757,-0.6063069999999999,Village Mangal,51.674880834743774,-0.6076182736357687,Turkish Restaurant
87,Amersham,51.67757,-0.6063069999999999,Waterstones,51.67800095684825,-0.6060414062968736,Bookstore
88,Amersham,51.67757,-0.6063069999999999,PizzaExpress,51.677183280802325,-0.6069946738114534,Pizza Place
89,Amersham,51.67757,-0.6063069999999999,Little Waitrose & Partners,51.67768080483949,-0.6062184920133404,Supermarket
90,Amersham,51.67757,-0.6063069999999999,M&S Simply Food,51.677552730039686,-0.606609405933654,Grocery Store
91,Amersham,51.67757,-0.6063069999999999,Harris + Hoole,51.67778407422421,-0.6064395212518182,Coffee Shop
